filename,cell_line,quality,degradation,annotated,psnr,original_path
A172_Phase_A7_1_00d04h00m_1,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,noise_25,True,20.18,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,noise_50,True,14.25,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,noise_100,True,9.85,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,motion_blur_5,True,31.45,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,motion_blur_11,True,30.86,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,defocus_2,True,31.59,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,defocus_8,True,30.71,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,shading_0.3,True,18.58,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,shading_0.7,True,11.44,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,jpeg_70,True,38.36,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,jpeg_30,True,35.01,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,combined_mild,True,21.68,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d04h00m_1,A172,low,combined_severe,True,13.99,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d04h00m_1.tif
A172_Phase_A7_1_00d08h00m_3,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,noise_25,True,20.16,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,noise_50,True,14.25,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,noise_100,True,9.84,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,motion_blur_5,True,31.01,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,motion_blur_11,True,30.54,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,defocus_2,True,31.19,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,defocus_8,True,30.44,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,shading_0.3,True,18.59,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,shading_0.7,True,11.42,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,jpeg_70,True,37.63,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,jpeg_30,True,34.28,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,combined_mild,True,21.66,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d08h00m_3,A172,low,combined_severe,True,13.99,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d08h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,noise_25,True,20.17,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,noise_50,True,14.24,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,noise_100,True,9.85,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,motion_blur_5,True,30.91,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,motion_blur_11,True,30.5,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,defocus_2,True,31.1,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,defocus_8,True,30.44,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,shading_0.3,True,18.59,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,shading_0.7,True,11.42,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,jpeg_70,True,36.8,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,jpeg_30,True,33.61,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,combined_mild,True,21.62,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d12h00m_3,A172,low,combined_severe,True,14.01,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d12h00m_3.tif
A172_Phase_A7_1_00d20h00m_1,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,noise_25,True,20.15,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,noise_50,True,14.25,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,noise_100,True,9.85,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,motion_blur_5,True,32.3,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,motion_blur_11,True,32.07,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,defocus_2,True,32.51,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,defocus_8,True,32.03,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,shading_0.3,True,18.59,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,shading_0.7,True,11.42,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,jpeg_70,True,36.99,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,jpeg_30,True,34.27,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,combined_mild,True,21.69,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_00d20h00m_1,A172,low,combined_severe,True,14.06,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_00d20h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,noise_25,True,20.18,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,noise_50,True,14.25,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,noise_100,True,9.84,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,motion_blur_5,True,31.28,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,motion_blur_11,True,30.88,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,defocus_2,True,31.45,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,defocus_8,True,30.83,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,shading_0.3,True,18.58,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,shading_0.7,True,11.43,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,jpeg_70,True,36.65,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,jpeg_30,True,33.78,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,combined_mild,True,21.65,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d00h00m_1,A172,low,combined_severe,True,13.97,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d00h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,high,none,True,inf,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,noise_25,True,20.19,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,noise_50,True,14.23,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,noise_100,True,9.84,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,motion_blur_5,True,31.27,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,motion_blur_11,True,30.91,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,defocus_2,True,31.46,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
A172_Phase_A7_1_01d04h00m_1,A172,low,defocus_8,True,30.87,/home/mjonyh/git/livecell/data/livecell_train_val_images/livecell_train_val_images/A172_Phase_A7_1_01d04h00m_1.tif
