filename,filepath,blur_level,channel,quality
SIMCEPImages_A01_C1_F1_s01_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s01_w1.TIF,1,w1,high
SIMCEPImages_A01_C1_F1_s01_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s01_w2.TIF,1,w2,high
SIMCEPImages_A01_C1_F1_s02_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s02_w1.TIF,2,w1,high
SIMCEPImages_A01_C1_F1_s02_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s02_w2.TIF,2,w2,high
SIMCEPImages_A01_C1_F1_s03_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s03_w1.TIF,3,w1,high
SIMCEPImages_A01_C1_F1_s03_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s03_w2.TIF,3,w2,high
SIMCEPImages_A01_C1_F1_s04_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s04_w1.TIF,4,w1,high
SIMCEPImages_A01_C1_F1_s04_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s04_w2.TIF,4,w2,high
SIMCEPImages_A01_C1_F1_s05_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s05_w1.TIF,5,w1,high
SIMCEPImages_A01_C1_F1_s05_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s05_w2.TIF,5,w2,high
SIMCEPImages_A01_C1_F1_s06_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s06_w1.TIF,6,w1,medium
