filename,cell_line,degradation,filter_type,iou,improvement
A172_Phase_A7_1_00d04h00m_1,A172,noise_50,raw,0.16131158345691218,0.0
A172_Phase_A7_1_00d04h00m_1,A172,noise_50,homomorphic,0.16295554357038292,0.0016439601134707327
A172_Phase_A7_1_00d04h00m_1,A172,noise_50,dog,0.1631956928165672,0.001884109359655023
A172_Phase_A7_1_00d04h00m_1,A172,noise_50,butterworth,0.16214263316473299,0.0008310497078208023
A172_Phase_A7_1_00d04h00m_1,A172,noise_50,gaussian,0.16223507270548243,0.0009234892485702473
A172_Phase_A7_1_00d04h00m_1,A172,combined_mild,raw,0.17485553474677268,0.0
A172_Phase_A7_1_00d04h00m_1,A172,combined_mild,homomorphic,0.17287783630470016,-0.0019776984420725174
A172_Phase_A7_1_00d04h00m_1,A172,combined_mild,dog,0.15907797627258932,-0.015777558474183356
A172_Phase_A7_1_00d04h00m_1,A172,combined_mild,butterworth,0.16916298363785234,-0.005692551108920335
A172_Phase_A7_1_00d04h00m_1,A172,combined_mild,gaussian,0.16865953979702838,-0.0061959949497442934
A172_Phase_A7_1_00d08h00m_3,A172,noise_50,raw,0.26174534565076135,0.0
A172_Phase_A7_1_00d08h00m_3,A172,noise_50,homomorphic,0.26363450915767034,0.0018891635069089863
A172_Phase_A7_1_00d08h00m_3,A172,noise_50,dog,0.2637005121016876,0.001955166450926249
A172_Phase_A7_1_00d08h00m_3,A172,noise_50,butterworth,0.2628133811791264,0.0010680355283650411
A172_Phase_A7_1_00d08h00m_3,A172,noise_50,gaussian,0.2627915999806004,0.0010462543298390692
A172_Phase_A7_1_00d08h00m_3,A172,combined_mild,raw,0.24812322772050024,0.0
A172_Phase_A7_1_00d08h00m_3,A172,combined_mild,homomorphic,0.2579030386243646,0.009779810903864344
A172_Phase_A7_1_00d08h00m_3,A172,combined_mild,dog,0.26470225572021977,0.016579027999719526
A172_Phase_A7_1_00d08h00m_3,A172,combined_mild,butterworth,0.2759547037380674,0.027831476017567164
A172_Phase_A7_1_00d08h00m_3,A172,combined_mild,gaussian,0.2723635528160924,0.02424032509559218
A172_Phase_A7_1_00d12h00m_3,A172,noise_50,raw,0.3434544925223467,0.0
A172_Phase_A7_1_00d12h00m_3,A172,noise_50,homomorphic,0.34671600700775856,0.0032615144854118427
A172_Phase_A7_1_00d12h00m_3,A172,noise_50,dog,0.34349317029867416,3.8677776327433744e-05
A172_Phase_A7_1_00d12h00m_3,A172,noise_50,butterworth,0.3484377065167303,0.004983213994383562
A172_Phase_A7_1_00d12h00m_3,A172,noise_50,gaussian,0.34867596154876596,0.005221469026419234
A172_Phase_A7_1_00d12h00m_3,A172,combined_mild,raw,0.33924474295969287,0.0
A172_Phase_A7_1_00d12h00m_3,A172,combined_mild,homomorphic,0.3479741736761047,0.008729430716411857
A172_Phase_A7_1_00d12h00m_3,A172,combined_mild,dog,0.34249632242676986,0.0032515794670769926
A172_Phase_A7_1_00d12h00m_3,A172,combined_mild,butterworth,0.3525319343065693,0.013287191346876448
A172_Phase_A7_1_00d12h00m_3,A172,combined_mild,gaussian,0.3628918906664714,0.023647147706778504
A172_Phase_A7_1_00d20h00m_1,A172,noise_50,raw,0.34126146632044113,0.0
A172_Phase_A7_1_00d20h00m_1,A172,noise_50,homomorphic,0.3416459480950308,0.00038448177458966226
A172_Phase_A7_1_00d20h00m_1,A172,noise_50,dog,0.34463321348250225,0.003371747162061123
A172_Phase_A7_1_00d20h00m_1,A172,noise_50,butterworth,0.3436058670180766,0.0023444006976354737
A172_Phase_A7_1_00d20h00m_1,A172,noise_50,gaussian,0.34357335778712306,0.0023118914666819257
A172_Phase_A7_1_00d20h00m_1,A172,combined_mild,raw,0.3323522317861827,0.0
A172_Phase_A7_1_00d20h00m_1,A172,combined_mild,homomorphic,0.3346459330499706,0.0022937012637879173
A172_Phase_A7_1_00d20h00m_1,A172,combined_mild,dog,0.34625749090740365,0.01390525912122098
A172_Phase_A7_1_00d20h00m_1,A172,combined_mild,butterworth,0.3426070052866027,0.010254773500420034
A172_Phase_A7_1_00d20h00m_1,A172,combined_mild,gaussian,0.34011313250455805,0.007760900718375374
A172_Phase_A7_1_01d00h00m_1,A172,noise_50,raw,0.34188589796541385,0.0
A172_Phase_A7_1_01d00h00m_1,A172,noise_50,homomorphic,0.3432342405076922,0.0013483425422783357
A172_Phase_A7_1_01d00h00m_1,A172,noise_50,dog,0.34641845262309007,0.004532554657676213
A172_Phase_A7_1_01d00h00m_1,A172,noise_50,butterworth,0.34299435352940333,0.0011084555639894744
A172_Phase_A7_1_01d00h00m_1,A172,noise_50,gaussian,0.3435294793289352,0.0016435813635213292
A172_Phase_A7_1_01d00h00m_1,A172,combined_mild,raw,0.3235077211043519,0.0
A172_Phase_A7_1_01d00h00m_1,A172,combined_mild,homomorphic,0.33273952156795933,0.009231800463607442
A172_Phase_A7_1_01d00h00m_1,A172,combined_mild,dog,0.34782053011637565,0.02431280901202376
A172_Phase_A7_1_01d00h00m_1,A172,combined_mild,butterworth,0.34481189700819337,0.021304175903841482
A172_Phase_A7_1_01d00h00m_1,A172,combined_mild,gaussian,0.3521417051057177,0.028633984001365798
A172_Phase_A7_1_01d04h00m_1,A172,noise_50,raw,0.3796844014305327,0.0
A172_Phase_A7_1_01d04h00m_1,A172,noise_50,homomorphic,0.3804655386836282,0.0007811372530954763
A172_Phase_A7_1_01d04h00m_1,A172,noise_50,dog,0.38392772743845627,0.004243326007923542
A172_Phase_A7_1_01d04h00m_1,A172,noise_50,butterworth,0.3821765963782043,0.0024921949476715555
A172_Phase_A7_1_01d04h00m_1,A172,noise_50,gaussian,0.38363589667338027,0.003951495242847547
A172_Phase_A7_1_01d04h00m_1,A172,combined_mild,raw,0.39231973121212993,0.0
A172_Phase_A7_1_01d04h00m_1,A172,combined_mild,homomorphic,0.382005055478724,-0.010314675733405942
A172_Phase_A7_1_01d04h00m_1,A172,combined_mild,dog,0.39010821342222013,-0.0022115177899098004
A172_Phase_A7_1_01d04h00m_1,A172,combined_mild,butterworth,0.39631638493278315,0.0039966537206532204
A172_Phase_A7_1_01d04h00m_1,A172,combined_mild,gaussian,0.39551211270603576,0.003192381493905827
A172_Phase_A7_1_01d08h00m_1,A172,noise_50,raw,0.3941096847003379,0.0
A172_Phase_A7_1_01d08h00m_1,A172,noise_50,homomorphic,0.39653270447729644,0.0024230197769585238
A172_Phase_A7_1_01d08h00m_1,A172,noise_50,dog,0.4019003358947223,0.007790651194384379
A172_Phase_A7_1_01d08h00m_1,A172,noise_50,butterworth,0.3975123474124118,0.0034026627120739006
A172_Phase_A7_1_01d08h00m_1,A172,noise_50,gaussian,0.39981129461133946,0.005701609911001548
A172_Phase_A7_1_01d08h00m_1,A172,combined_mild,raw,0.40689030299001927,0.0
A172_Phase_A7_1_01d08h00m_1,A172,combined_mild,homomorphic,0.40296905002787353,-0.003921252962145738
A172_Phase_A7_1_01d08h00m_1,A172,combined_mild,dog,0.4077751692206219,0.0008848662306026323
A172_Phase_A7_1_01d08h00m_1,A172,combined_mild,butterworth,0.4086164357563105,0.001726132766291244
A172_Phase_A7_1_01d08h00m_1,A172,combined_mild,gaussian,0.40833245984119915,0.0014421568511798766
A172_Phase_A7_1_01d12h00m_1,A172,noise_50,raw,0.4170928847586958,0.0
A172_Phase_A7_1_01d12h00m_1,A172,noise_50,homomorphic,0.420547292143402,0.0034544073847061485
A172_Phase_A7_1_01d12h00m_1,A172,noise_50,dog,0.4219814948787267,0.00488861012003089
A172_Phase_A7_1_01d12h00m_1,A172,noise_50,butterworth,0.4234095640703717,0.006316679311675899
A172_Phase_A7_1_01d12h00m_1,A172,noise_50,gaussian,0.4211587831281991,0.0040658983695032735
A172_Phase_A7_1_01d12h00m_1,A172,combined_mild,raw,0.3960162241161305,0.0
A172_Phase_A7_1_01d12h00m_1,A172,combined_mild,homomorphic,0.3917937414770219,-0.004222482639108627
A172_Phase_A7_1_01d12h00m_1,A172,combined_mild,dog,0.4329763063940279,0.03696008227789738
A172_Phase_A7_1_01d12h00m_1,A172,combined_mild,butterworth,0.42434327524007925,0.028327051123948732
