filename,cell_line,filter_type,config_label,iou,improvement
A172_Phase_A7_1_00d04h00m_1,A172,raw,raw,0.1691890547399667,0.0
A172_Phase_A7_1_00d04h00m_1,A172,ideal,ideal_0.02_0.30,0.16748768472906403,-0.0017013700109026753
A172_Phase_A7_1_00d04h00m_1,A172,butterworth,bw2_0.02_0.30,0.1692769832939736,8.792855400688304e-05
A172_Phase_A7_1_00d04h00m_1,A172,butterworth,bw2_0.01_0.20,0.168296076025134,-0.0008929787148327095
A172_Phase_A7_1_00d04h00m_1,A172,butterworth,bw2_0.05_0.40,0.17099958178781607,0.0018105270478493696
A172_Phase_A7_1_00d04h00m_1,A172,butterworth,bw4_0.02_0.30,0.1703451838529723,0.0011561291130055829
A172_Phase_A7_1_00d04h00m_1,A172,gaussian,gauss_0.02_0.30,0.169786669946565,0.0005976152065982898
A172_Phase_A7_1_00d04h00m_1,A172,gaussian,gauss_0.01_0.20,0.168424936456312,-0.0007641182836546911
A172_Phase_A7_1_00d04h00m_1,A172,gaussian,gauss_0.05_0.40,0.1704460966542751,0.0012570419143083933
A172_Phase_A7_1_00d04h00m_1,A172,homomorphic,homo_0.5_2.0,0.1713843698066999,0.0021953150667332055
A172_Phase_A7_1_00d04h00m_1,A172,homomorphic,homo_0.3_1.5,0.17131517662880072,0.002126121888834015
A172_Phase_A7_1_00d04h00m_1,A172,homomorphic,homo_0.7_3.0,0.17134977340687815,0.0021607186669114486
A172_Phase_A7_1_00d04h00m_1,A172,dog,dog_005_020,0.1691670015939806,-2.2053145986106193e-05
A172_Phase_A7_1_00d04h00m_1,A172,dog,dog_003_010,0.11810701907633352,-0.05108203566363319
A172_Phase_A7_1_00d04h00m_1,A172,dog,dog_010_030,0.16623372362009659,-0.0029553311198701193
A172_Phase_A7_1_00d04h00m_1,A172,laplacian,lap_0.02_0.30,0.16051985891734397,-0.008669195822622738
A172_Phase_A7_1_00d04h00m_1,A172,laplacian,lap_0.01_0.40,0.16299547117959648,-0.006193583560370225
A172_Phase_A7_1_00d04h00m_1,A172,chebyshev1,cheb1_0.02_0.30,0.1688282580352433,-0.0003607967047234151
