cell_line,filter_type,best_iou,mean_iou,best_config,best_improvement,mean_improvement,raw_iou,net_improvement
A172,butterworth,0.8040590960652736,0.5233676287505279,bw2_0.02_0.30,0.17072771457431912,-0.05997140129053433,0.5833390300410622,0.22072006602421135
A172,chebyshev1,0.8164825131622829,0.574963677304176,cheb1_0.02_0.30,0.1973122318860071,-0.00837535273688628,0.5833390300410622,0.23314348312122068
A172,chebyshev2,0.7769880806804161,0.5470157686326871,cheb2_0.02_0.30,0.15704352303584201,-0.03632326140837516,0.5833390300410622,0.1936490506393539
A172,cosine,0.7548522837334267,0.5229660144301114,cos_0.02_0.30,0.03012940884953752,-0.06037301561095088,0.5833390300410622,0.17151325369236448
A172,dog,0.8115518311777463,0.3562768078108038,dog_003_010,0.19125564401187867,-0.2270622222302585,0.5833390300410622,0.22821280113668407
A172,elliptic,0.8167194222579393,0.5899996878161694,ellip_0.02_0.30,0.20620384804807534,0.00666065777510718,0.5833390300410622,0.233380392216877
A172,gaussian,0.8154201966686077,0.5487854504497434,gauss_0.05_0.40,0.17729379949403523,-0.03455357959131882,0.5833390300410622,0.2320811666275454
A172,homomorphic,0.8271895446271912,0.5892493349601291,homo_0.7_3.0,0.21055975321323872,0.005910304919066842,0.5833390300410622,0.24385051458612894
A172,ideal,0.7441549985500348,0.5002005760860955,ideal_0.02_0.30,0.002121616658806391,-0.08313845395496684,0.5833390300410622,0.1608159685089725
A172,laplacian,0.5378710884530779,0.30955217863296064,lap_0.01_0.40,0.08128888563290619,-0.2737868514081016,0.5833390300410622,-0.045467941587984395
A172,parametric,0.8074254312819531,0.5421883961675884,param_b1_s020,0.1757155392022931,-0.04115063387347387,0.5833390300410622,0.22408640124089085
A172,trapezoidal,0.7949280789900989,0.5044038737495,trap_0.01_03_25_35,0.03135591638926427,-0.07893515629156223,0.5833390300410622,0.21158904894903663
BT474,butterworth,0.5072808353512223,0.3150524050973012,bw2_0.05_0.40,0.18286358579646894,0.0009603146912758024,0.31409209040602537,0.1931887449451969
BT474,chebyshev1,0.5063721046159071,0.3129242763039568,cheb1_0.02_0.30,0.007957872081886364,-0.001167814102068549,0.31409209040602537,0.19228001420988172
BT474,chebyshev2,0.4732602218561471,0.30707234531837263,cheb2_0.02_0.30,0.17992653400938835,-0.007019745087652723,0.31409209040602537,0.1591681314501217
BT474,cosine,0.4889724626796121,0.30678426940072384,cos_0.02_0.30,-7.106178910726291e-06,-0.007307821005301551,0.31409209040602537,0.17488037227358671
BT474,dog,0.4117478927392603,0.13277922163041692,dog_003_010,0.20330024394587398,-0.18131286877560845,0.31409209040602537,0.09765580233323495
