filename,cell_line,cell_count,iou_raw,iou_best_filtered,iou_improvement,best_low_cut,best_high_cut
A172_Phase_A7_1_00d04h00m_1,A172,77,0.16887745758588737,0.1698642343467696,0.0009867767608822131,0.005,0.15
A172_Phase_A7_1_00d08h00m_3,A172,83,0.31757487975513776,0.31757487975513776,0.0,-1.0,-1.0
A172_Phase_A7_1_00d12h00m_3,A172,101,0.47189556055870074,0.47189556055870074,0.0,-1.0,-1.0
A172_Phase_A7_1_00d20h00m_1,A172,102,0.4761932096183861,0.4761932096183861,0.0,-1.0,-1.0
A172_Phase_A7_1_01d00h00m_1,A172,132,0.47165286725218475,0.47165286725218475,0.0,-1.0,-1.0
A172_Phase_A7_1_01d04h00m_1,A172,161,0.5544060286838084,0.5544060286838084,0.0,-1.0,-1.0
A172_Phase_A7_1_01d08h00m_1,A172,131,0.5877565521576343,0.5877565521576343,0.0,-1.0,-1.0
A172_Phase_A7_1_01d12h00m_1,A172,139,0.648280197329762,0.648280197329762,0.0,-1.0,-1.0
A172_Phase_A7_1_01d16h00m_1,A172,181,0.7096167565484309,0.7096167565484309,0.0,-1.0,-1.0
A172_Phase_A7_1_01d20h00m_2,A172,226,0.7535040501269851,0.7535040501269851,0.0,-1.0,-1.0
A172_Phase_A7_1_02d00h00m_3,A172,280,0.7696124666803362,0.7696124666803362,0.0,-1.0,-1.0
A172_Phase_A7_1_02d08h00m_2,A172,297,0.8514371319690102,0.8514371319690102,0.0,-1.0,-1.0
A172_Phase_A7_1_02d12h00m_3,A172,360,0.5440702227779789,0.6564624733125308,0.11239225053455193,0.005,0.4
A172_Phase_A7_1_02d16h00m_4,A172,335,0.78660547748891,0.78660547748891,0.0,-1.0,-1.0
A172_Phase_A7_1_03d00h00m_1,A172,462,0.6822587638654862,0.6822587638654862,0.0,-1.0,-1.0
A172_Phase_A7_2_00d00h00m_1,A172,61,0.12817086533915928,0.12996242912767267,0.0017915637885133895,0.005,0.15
A172_Phase_A7_2_00d04h00m_1,A172,66,0.1949644967503184,0.1949644967503184,0.0,-1.0,-1.0
A172_Phase_A7_2_00d08h00m_1,A172,67,0.3058122531534856,0.3058122531534856,0.0,-1.0,-1.0
A172_Phase_A7_2_00d12h00m_1,A172,81,0.44028784056715414,0.44028784056715414,0.0,-1.0,-1.0
A172_Phase_A7_2_00d16h00m_1,A172,88,0.5251477106892801,0.5251477106892801,0.0,-1.0,-1.0
A172_Phase_A7_2_00d20h00m_2,A172,95,0.5295675415678258,0.5295675415678258,0.0,-1.0,-1.0
A172_Phase_A7_2_01d00h00m_2,A172,95,0.5925763977328006,0.5925763977328006,0.0,-1.0,-1.0
A172_Phase_A7_2_01d04h00m_3,A172,138,0.7020811472542847,0.7020811472542847,0.0,-1.0,-1.0
A172_Phase_A7_2_01d08h00m_3,A172,154,0.7338374673415176,0.7338374673415176,0.0,-1.0,-1.0
A172_Phase_A7_2_01d16h00m_1,A172,184,0.7694540247161902,0.7694540247161902,0.0,-1.0,-1.0
A172_Phase_A7_2_01d20h00m_3,A172,239,0.8162916065258278,0.8162916065258278,0.0,-1.0,-1.0
A172_Phase_A7_2_02d00h00m_3,A172,279,0.7887132615213892,0.7887132615213892,0.0,-1.0,-1.0
A172_Phase_A7_2_02d04h00m_3,A172,318,0.8033077232139196,0.8033077232139196,0.0,-1.0,-1.0
A172_Phase_A7_2_02d08h00m_3,A172,338,0.7657630316203913,0.7657630316203913,0.0,-1.0,-1.0
A172_Phase_A7_2_02d12h00m_3,A172,450,0.5453185720245022,0.6478919901649938,0.10257341814049159,0.005,0.4
A172_Phase_A7_2_02d16h00m_3,A172,376,0.5420395818409866,0.599472376554213,0.05743279471322649,0.005,0.4
A172_Phase_A7_2_03d00h00m_1,A172,489,0.674655782283149,0.674655782283149,0.0,-1.0,-1.0
A172_Phase_B7_1_00d00h00m_2,A172,83,0.10786858904289275,0.10831919155483048,0.0004506025119377366,0.02,0.25
A172_Phase_B7_1_00d04h00m_2,A172,72,0.16153122813156054,0.16153122813156054,0.0,-1.0,-1.0
A172_Phase_B7_1_00d08h00m_3,A172,77,0.32818800937203535,0.32818800937203535,0.0,-1.0,-1.0
A172_Phase_B7_1_00d12h00m_3,A172,104,0.43133112313087113,0.43133112313087113,0.0,-1.0,-1.0
A172_Phase_B7_1_00d16h00m_4,A172,75,0.532963681274944,0.532963681274944,0.0,-1.0,-1.0
A172_Phase_B7_1_00d20h00m_4,A172,106,0.544941284599414,0.544941284599414,0.0,-1.0,-1.0
A172_Phase_B7_1_01d04h00m_1,A172,151,0.620693142372974,0.620693142372974,0.0,-1.0,-1.0
A172_Phase_B7_1_01d08h00m_2,A172,133,0.6418701443600058,0.6418701443600058,0.0,-1.0,-1.0
A172_Phase_B7_1_01d12h00m_2,A172,142,0.6740811401051219,0.6740811401051219,0.0,-1.0,-1.0
A172_Phase_B7_1_01d16h00m_2,A172,170,0.712670981991537,0.712670981991537,0.0,-1.0,-1.0
A172_Phase_B7_1_01d20h00m_2,A172,205,0.7400388169044886,0.7400388169044886,0.0,-1.0,-1.0
A172_Phase_B7_1_02d00h00m_4,A172,308,0.8047665374966523,0.8047665374966523,0.0,-1.0,-1.0
A172_Phase_B7_1_02d08h00m_1,A172,302,0.76267618149257,0.76267618149257,0.0,-1.0,-1.0
A172_Phase_B7_1_02d12h00m_1,A172,324,0.7527170421083427,0.7527170421083427,0.0,-1.0,-1.0
A172_Phase_B7_1_02d16h00m_1,A172,411,0.6927261130106517,0.6927261130106517,0.0,-1.0,-1.0
A172_Phase_B7_1_02d20h00m_1,A172,624,0.7386597782989052,0.7386597782989052,0.0,-1.0,-1.0
A172_Phase_B7_1_03d00h00m_1,A172,498,0.5363705395203228,0.5809580434717089,0.04458750395138611,0.005,0.4
A172_Phase_B7_2_00d00h00m_1,A172,73,0.1250843632250114,0.12631354612370693,0.00122918289869553,0.02,0.25
A172_Phase_B7_2_00d04h00m_1,A172,69,0.21299664643229047,0.21338322068594198,0.0003865742536515171,0.005,0.4
A172_Phase_B7_2_00d08h00m_3,A172,140,0.3283746104641627,0.3283746104641627,0.0,-1.0,-1.0
A172_Phase_B7_2_00d12h00m_4,A172,71,0.4963447395678184,0.4963447395678184,0.0,-1.0,-1.0
A172_Phase_B7_2_00d16h00m_4,A172,88,0.5481521563869007,0.5481521563869007,0.0,-1.0,-1.0
A172_Phase_B7_2_00d20h00m_4,A172,100,0.5744815750062856,0.5744815750062856,0.0,-1.0,-1.0
A172_Phase_B7_2_01d04h00m_2,A172,153,0.6102335521461327,0.6102335521461327,0.0,-1.0,-1.0
A172_Phase_B7_2_01d08h00m_3,A172,165,0.644804216661609,0.644804216661609,0.0,-1.0,-1.0
A172_Phase_B7_2_01d16h00m_2,A172,170,0.7955528829727624,0.7955528829727624,0.0,-1.0,-1.0
A172_Phase_B7_2_01d20h00m_4,A172,194,0.7156980785122836,0.7156980785122836,0.0,-1.0,-1.0
A172_Phase_B7_2_02d04h00m_1,A172,270,0.7869235739238039,0.7869235739238039,0.0,-1.0,-1.0
A172_Phase_B7_2_02d08h00m_2,A172,402,0.7292994241054191,0.7292994241054191,0.0,-1.0,-1.0
A172_Phase_B7_2_02d12h00m_2,A172,341,0.7363287605307988,0.7363287605307988,0.0,-1.0,-1.0
A172_Phase_B7_2_02d16h00m_3,A172,354,0.7111678167332639,0.7111678167332639,0.0,-1.0,-1.0
A172_Phase_B7_2_02d20h00m_4,A172,527,0.7503324559051283,0.7503324559051283,0.0,-1.0,-1.0
A172_Phase_D7_1_00d00h00m_1,A172,82,0.138299442036866,0.14151327455389467,0.0032138325170286697,0.02,0.25
A172_Phase_D7_1_00d04h00m_2,A172,71,0.2252088303043717,0.2252088303043717,0.0,-1.0,-1.0
A172_Phase_D7_1_00d08h00m_3,A172,99,0.33983865632594595,0.33983865632594595,0.0,-1.0,-1.0
A172_Phase_D7_1_00d12h00m_3,A172,110,0.4275568570568434,0.4275568570568434,0.0,-1.0,-1.0
A172_Phase_D7_1_00d16h00m_3,A172,104,0.5221885362646496,0.5221885362646496,0.0,-1.0,-1.0
A172_Phase_D7_1_00d20h00m_3,A172,110,0.6242761138759302,0.6242761138759302,0.0,-1.0,-1.0
A172_Phase_D7_1_01d00h00m_4,A172,114,0.6158359293873312,0.6158359293873312,0.0,-1.0,-1.0
A172_Phase_D7_1_01d04h00m_4,A172,147,0.6139979429271709,0.6139979429271709,0.0,-1.0,-1.0
A172_Phase_D7_1_01d08h00m_4,A172,145,0.6762403231143232,0.6762403231143232,0.0,-1.0,-1.0
A172_Phase_D7_1_01d12h00m_4,A172,192,0.7021483438993332,0.7021483438993332,0.0,-1.0,-1.0
A172_Phase_D7_1_01d16h00m_4,A172,222,0.7778193916297838,0.7778193916297838,0.0,-1.0,-1.0
A172_Phase_D7_1_01d20h00m_4,A172,284,0.8369850097702956,0.8369850097702956,0.0,-1.0,-1.0
A172_Phase_D7_1_02d04h00m_1,A172,240,0.8107201626967422,0.8107201626967422,0.0,-1.0,-1.0
A172_Phase_D7_1_02d08h00m_2,A172,314,0.5464605723680773,0.6610343496508091,0.11457377728273177,0.005,0.4
A172_Phase_D7_1_02d12h00m_4,A172,326,0.7098099134177798,0.7098099134177798,0.0,-1.0,-1.0
A172_Phase_D7_1_02d20h00m_1,A172,374,0.814910988353182,0.814910988353182,0.0,-1.0,-1.0
A172_Phase_D7_1_03d00h00m_3,A172,495,0.7059589282735271,0.7059589282735271,0.0,-1.0,-1.0
A172_Phase_D7_2_00d04h00m_1,A172,56,0.18777682994848913,0.18888108044550056,0.001104250497011433,0.005,0.15
