filename,cell_line,degradation,method,iou,improvement
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,raw,0.1294873379803532,0.0
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,DeBCR,0.12956008712669434,7.274914634114449e-05
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,PI-DDPM,0.12987842967661334,0.00039109169626014295
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,PSF-Learning,0.11832355133513314,-0.011163786645220053
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,DoG_filter,0.12882270311136415,-0.0006646348689890447
MCF7_Phase_E4_1_00d04h00m_1,MCF7,noise_50,DeBCR+DoG,0.1283803904781403,-0.0011069475022129072
MCF7_Phase_E4_1_00d04h00m_1,MCF7,HQ_reference,raw_HQ,0.102026952594279,-0.02746038538607419
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,raw,0.1174934725848564,0.0
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,DeBCR,0.11139665499160639,-0.006096817593250009
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,PI-DDPM,0.11457694107857923,-0.002916531506277173
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,PSF-Learning,0.11184767651106171,-0.005645796073794687
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,DoG_filter,0.1270052998804404,0.009511827295584002
MCF7_Phase_E4_1_00d04h00m_1,MCF7,combined_mild,DeBCR+DoG,0.13328284844143842,0.015789375856582022
MCF7_Phase_E4_1_00d04h00m_1,MCF7,HQ_reference,raw_HQ,0.102026952594279,-0.015466519990577396
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,raw,0.16142889855736203,0.0
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,DeBCR,0.16128740087946128,-0.00014149767790075374
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,PI-DDPM,0.16028185696175593,-0.0011470415956061075
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,PSF-Learning,0.1414016510501933,-0.02002724750716872
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,DoG_filter,0.16146708390129472,3.8185343932684024e-05
MCF7_Phase_E4_1_00d08h00m_1,MCF7,noise_50,DeBCR+DoG,0.16131198722137516,-0.00011691133598687453
MCF7_Phase_E4_1_00d08h00m_1,MCF7,HQ_reference,raw_HQ,0.09633177007325125,-0.06509712848411078
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,raw,0.15696962573339993,0.0
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,DeBCR,0.14937685106044643,-0.007592774672953495
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,PI-DDPM,0.15358431615250626,-0.0033853095808936695
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,PSF-Learning,0.10826103357223689,-0.048708592161163036
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,DoG_filter,0.16110284340574668,0.004133217672346756
MCF7_Phase_E4_1_00d08h00m_1,MCF7,combined_mild,DeBCR+DoG,0.1569454834486628,-2.414228473712754e-05
MCF7_Phase_E4_1_00d08h00m_1,MCF7,HQ_reference,raw_HQ,0.09633177007325125,-0.060637855660148676
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,raw,0.16729764329091895,0.0
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,DeBCR,0.16708484425324896,-0.00021279903766999175
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,PI-DDPM,0.16637265965041567,-0.0009249836405032796
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,PSF-Learning,0.14831779582794904,-0.018979847462969907
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,DoG_filter,0.16687424956541996,-0.00042339372549898835
MCF7_Phase_E4_1_00d12h00m_1,MCF7,noise_50,DeBCR+DoG,0.16659272702829872,-0.000704916262620231
MCF7_Phase_E4_1_00d12h00m_1,MCF7,HQ_reference,raw_HQ,0.08987720424526369,-0.07742043904565526
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,raw,0.14955518879317287,0.0
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,DeBCR,0.14597437255940818,-0.0035808162337646887
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,PI-DDPM,0.150445573087287,0.0008903842941141438
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,PSF-Learning,0.10559809931906408,-0.043957089474108785
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,DoG_filter,0.163104985812728,0.013549797019555138
MCF7_Phase_E4_1_00d12h00m_1,MCF7,combined_mild,DeBCR+DoG,0.16041256467786988,0.010857375884697013
MCF7_Phase_E4_1_00d12h00m_1,MCF7,HQ_reference,raw_HQ,0.08987720424526369,-0.05967798454790918
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,raw,0.2013350484998088,0.0
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,DeBCR,0.20128623453548336,-4.881396432543372e-05
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,PI-DDPM,0.20138709176543657,5.2043265627771396e-05
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,PSF-Learning,0.1746145918323528,-0.026720456667455983
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,DoG_filter,0.2022209638585465,0.0008859153587376933
MCF7_Phase_E4_1_00d16h00m_2,MCF7,noise_50,DeBCR+DoG,0.2024769374480743,0.0011418889482655015
MCF7_Phase_E4_1_00d16h00m_2,MCF7,HQ_reference,raw_HQ,0.21882676999674816,0.017491721496939366
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,raw,0.2325035015587584,0.0
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,DeBCR,0.23956519366345672,0.007061692104698314
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,PI-DDPM,0.23604529479129646,0.0035417932325380597
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,PSF-Learning,0.1404628618241398,-0.0920406397346186
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,DoG_filter,0.20309811397145652,-0.02940538758730188
MCF7_Phase_E4_1_00d16h00m_2,MCF7,combined_mild,DeBCR+DoG,0.20082828713396772,-0.03167521442479068
MCF7_Phase_E4_1_00d16h00m_2,MCF7,HQ_reference,raw_HQ,0.21882676999674816,-0.013676731562010241
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,raw,0.17248639002462218,0.0
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,DeBCR,0.171972930021606,-0.0005134600030161918
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,PI-DDPM,0.17232491643510128,-0.00016147358952089963
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,PSF-Learning,0.15083884694812177,-0.02164754307650041
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,DoG_filter,0.17247719523733018,-9.194787291999518e-06
MCF7_Phase_E4_1_00d20h00m_4,MCF7,noise_50,DeBCR+DoG,0.17264241976867767,0.00015602974405548586
MCF7_Phase_E4_1_00d20h00m_4,MCF7,HQ_reference,raw_HQ,0.17937604529902385,0.006889655274401663
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,raw,0.155485684340908,0.0
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,DeBCR,0.14364858755975338,-0.011837096781154632
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,PI-DDPM,0.15032879126838858,-0.005156893072519431
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,PSF-Learning,0.11901231260822563,-0.03647337173268238
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,DoG_filter,0.17003729018935224,0.014551605848444227
MCF7_Phase_E4_1_00d20h00m_4,MCF7,combined_mild,DeBCR+DoG,0.16594217203356712,0.010456487692659111
MCF7_Phase_E4_1_00d20h00m_4,MCF7,HQ_reference,raw_HQ,0.17937604529902385,0.023890360958115836
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,raw,0.21861271381592923,0.0
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,DeBCR,0.21528425375368954,-0.003328460062239691
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,PI-DDPM,0.216038663872375,-0.0025740499435542297
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,PSF-Learning,0.18518288966706953,-0.0334298241488597
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,DoG_filter,0.22127575193759202,0.0026630381216627974
MCF7_Phase_E4_1_01d04h00m_1,MCF7,noise_50,DeBCR+DoG,0.22265776329985545,0.004045049483926227
