method,degradation,n,mean_iou,std_iou,mean_improvement,std_improvement,t_statistic,p_value,cohens_d,ci_lower,ci_upper,significant
DeBCR,noise_50,60,0.277243,0.122884,-0.001578,0.003411,-3.5835,0.000688,-0.4665,-0.002459,-0.000697,True
DeBCR,combined_mild,60,0.251107,0.104512,-0.006795,0.011002,-4.784,1.2e-05,-0.6228,-0.009637,-0.003953,True
PI-DDPM,noise_50,60,0.278238,0.122047,-0.000583,0.002943,-1.5345,0.13025,-0.1998,-0.001343,0.000177,False
PI-DDPM,combined_mild,60,0.255731,0.104504,-0.00217,0.006243,-2.6925,0.009217,-0.3505,-0.003783,-0.000557,True
N2V,noise_50,60,0.276622,0.122056,-0.002199,0.004891,-3.4829,0.000941,-0.4534,-0.003463,-0.000936,True
N2V,combined_mild,60,0.253813,0.10567,-0.004089,0.008762,-3.6147,0.000623,-0.4706,-0.006352,-0.001825,True
DoG,noise_50,60,0.280953,0.124455,0.002132,0.004684,3.5255,0.000824,0.459,0.000922,0.003342,True
DoG,combined_mild,60,0.280139,0.130252,0.022238,0.04166,4.1347,0.000114,0.5383,0.011476,0.033,True
DeBCR+DoG,noise_50,60,0.281927,0.124094,0.003106,0.00522,4.6097,2.2e-05,0.6001,0.001758,0.004455,True
DeBCR+DoG,combined_mild,60,0.304427,0.107033,0.046526,0.066107,5.4516,1e-06,0.7097,0.029449,0.063603,True
