comparison,mean_diff,t_stat,p_value,cohens_d,n,sig
raw_vs_raw,0.0,0.0,1.0,0.0,808,ns
ideal_vs_raw,-0.041485944929218754,-4.146855470227352,3.545945885105399e-05,-0.22052003326040573,808,***
butterworth_vs_raw,-0.034251882307859804,-4.245757369280824,2.2275644013869166e-05,-0.16871040509519408,3232,***
gaussian_vs_raw,-0.021712370824160332,-2.535423106210767,0.011277939794832902,-0.10339610287743081,2424,*
homomorphic_vs_raw,-0.015710358115974155,-1.7965105756086872,0.07250675630890585,-0.07275184574905674,2424,ns
dog_vs_raw,-0.05401450495395138,-5.989425550828417,2.3374119458376804e-09,-0.24023067864224487,2424,***
laplacian_vs_raw,-0.08383809421086402,-10.708165977218965,3.5547137116707864e-26,-0.5121656791603023,1616,***
chebyshev1_vs_raw,-0.015941708978534974,-1.7117363779270574,0.08707328358849302,-0.07326606865080872,1616,ns
chebyshev2_vs_raw,0.0007200510216265332,0.07587841444679516,0.939525233932164,0.004359085611216174,808,ns
elliptic_vs_raw,0.04009301018190797,3.686605255001439,0.00023478441816219845,0.17914288388482114,808,***
trapezoidal_vs_raw,-0.04101119860978525,-4.002626421205954,6.548279407604596e-05,-0.20674336782867758,808,***
cosine_vs_raw,-0.03322678503129051,-3.263967176043867,0.0011216252222270178,-0.16987579790129695,808,**
parametric_vs_raw,-0.02161740630494957,-2.4314901019421713,0.015108929308585772,-0.10659242955717596,1616,*
