modality,degradation,filter,edge_improvement
phase_contrast,noise_50,dog,-126.67231521178387
phase_contrast,noise_50,butterworth,-86.30923790755594
phase_contrast,noise_50,dog,-123.86976278369167
phase_contrast,noise_50,butterworth,-85.15562196867054
phase_contrast,noise_50,dog,-124.17917987909755
phase_contrast,noise_50,butterworth,-85.40868167179883
phase_contrast,noise_50,dog,-123.73504156796632
phase_contrast,noise_50,butterworth,-85.03655766717574
phase_contrast,noise_50,dog,-124.19252582129401
phase_contrast,noise_50,butterworth,-85.50524700025761
phase_contrast,noise_50,dog,-127.87240439487515
phase_contrast,noise_50,butterworth,-86.58611708894887
phase_contrast,noise_50,dog,-123.38374534515609
phase_contrast,noise_50,butterworth,-84.89862040781264
phase_contrast,noise_50,dog,-131.40759946787415
phase_contrast,noise_50,butterworth,-89.85995066833723
phase_contrast,noise_50,dog,-125.27625665818076
phase_contrast,noise_50,butterworth,-86.17753468840826
phase_contrast,noise_50,dog,-125.51537152637007
phase_contrast,noise_50,butterworth,-86.25299109720103
phase_contrast,noise_50,dog,-125.51843598799746
phase_contrast,noise_50,butterworth,-86.35595178060757
phase_contrast,noise_50,dog,-123.44966997090607
phase_contrast,noise_50,butterworth,-84.88695941929413
phase_contrast,noise_50,dog,-124.43054508373639
phase_contrast,noise_50,butterworth,-85.27756577417551
phase_contrast,noise_50,dog,-128.2074096853794
phase_contrast,noise_50,butterworth,-86.48942995564025
phase_contrast,noise_50,dog,-123.8110157289767
phase_contrast,noise_50,butterworth,-85.19176114901259
phase_contrast,noise_50,dog,-123.87139176345546
phase_contrast,noise_50,butterworth,-85.37934218931258
phase_contrast,noise_50,dog,-125.16323678553857
phase_contrast,noise_50,butterworth,-86.22616417680271
phase_contrast,noise_50,dog,-124.34128937007789
phase_contrast,noise_50,butterworth,-85.4394160625726
phase_contrast,noise_50,dog,-126.0545960592531
phase_contrast,noise_50,butterworth,-86.65135801493022
phase_contrast,noise_50,dog,-124.52522353735188
phase_contrast,noise_50,butterworth,-85.63635134027581
phase_contrast,combined_mild,dog,-12.780406336288682
phase_contrast,combined_mild,butterworth,-4.4204573936174185
phase_contrast,combined_mild,dog,-9.83510759688065
phase_contrast,combined_mild,butterworth,-3.7271950421160582
phase_contrast,combined_mild,dog,-10.018559495561671
phase_contrast,combined_mild,butterworth,-3.8082186047593822
phase_contrast,combined_mild,dog,-10.060473431913646
phase_contrast,combined_mild,butterworth,-3.8176433309969795
phase_contrast,combined_mild,dog,-10.125105681100568
phase_contrast,combined_mild,butterworth,-3.9563115701866742
phase_contrast,combined_mild,dog,-14.67538859331868
phase_contrast,combined_mild,butterworth,-4.902756374429451
phase_contrast,combined_mild,dog,-9.25511099638598
phase_contrast,combined_mild,butterworth,-3.608836609007497
phase_contrast,combined_mild,dog,-14.999089476003675
phase_contrast,combined_mild,butterworth,-5.953403004274286
phase_contrast,combined_mild,dog,-10.639760214500459
phase_contrast,combined_mild,butterworth,-4.1238434543251365
phase_contrast,combined_mild,dog,-11.293076460433877
phase_contrast,combined_mild,butterworth,-4.35745323933212
phase_contrast,combined_mild,dog,-10.732767977966855
phase_contrast,combined_mild,butterworth,-4.1885591891584255
phase_contrast,combined_mild,dog,-9.741481239818885
phase_contrast,combined_mild,butterworth,-3.692521420670868
phase_contrast,combined_mild,dog,-10.558405608689835
phase_contrast,combined_mild,butterworth,-3.79203364168216
phase_contrast,combined_mild,dog,-15.345245420389524
phase_contrast,combined_mild,butterworth,-5.0877734318208
phase_contrast,combined_mild,dog,-9.87368655931089
phase_contrast,combined_mild,butterworth,-3.807305086214246
phase_contrast,combined_mild,dog,-9.78690164585694
phase_contrast,combined_mild,butterworth,-3.8308598899800685
phase_contrast,combined_mild,dog,-10.550792517678737
phase_contrast,combined_mild,butterworth,-4.100789099906553
phase_contrast,combined_mild,dog,-10.250808706258582
phase_contrast,combined_mild,butterworth,-3.899843588123325
phase_contrast,combined_mild,dog,-11.240525048301187
phase_contrast,combined_mild,butterworth,-4.376555470387402
phase_contrast,combined_mild,dog,-10.566491996675452
phase_contrast,combined_mild,butterworth,-4.014731742877828
